id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,385,27,252,99,30
1,94,2,169,140,22
2,959,5,234,144,84
3,924,87,60,48,18
4,242,98,91,23,79
5,525,75,55,24,4
6,976,12,225,174,63
7,375,68,163,151,80
8,929,87,49,3,97
9,168,4,19,15,39
10,812,25,27,6,45
11,957,73,190,189,79
12,362,78,41,35,34
13,201,29,164,94,47
14,95,55,31,23,65
15,35,29,24,11,93
16,230,9,265,53,88
17,598,60,158,21,62
18,36,15,13,4,35
19,596,28,98,13,12
20,937,30,291,46,43
21,797,75,79,51,92
22,698,88,213,58,28
23,734,21,155,12,100
24,492,72,171,10,12
25,522,12,33,28,46
26,918,96,99,98,34
27,991,63,137,117,59
28,401,19,160,121,100
29,656,17,160,78,89
30,47,86,198,87,79
31,235,95,195,27,76
32,101,20,225,215,64
33,879,89,173,123,84
34,698,59,150,78,26
35,820,90,180,122,71
36,775,27,259,82,12
37,467,57,108,3,74
38,791,31,263,44,92
39,609,97,264,80,75
40,547,27,48,20,20
41,671,55,165,3,93
42,344,74,138,80,30
43,763,34,121,113,23
44,774,5,234,17,5
45,793,31,173,2,17
46,389,100,56,31,93
47,951,34,242,196,92
48,669,91,106,57,81
49,993,46,185,170,50
