id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,686,27,173,125,8
1,711,46,222,108,45
2,365,75,2,1,62
3,281,30,290,25,33
4,117,72,239,109,91
5,847,69,278,154,76
6,645,17,215,18,58
7,906,2,171,121,62
8,301,88,196,90,73
9,123,46,66,4,46
10,179,61,99,53,19
11,758,18,216,205,89
12,988,82,175,38,15
13,579,15,27,5,29
14,876,26,253,63,85
15,330,22,5,2,87
16,379,95,101,13,84
17,326,76,41,13,92
18,747,38,25,2,36
19,57,64,216,22,44
20,10,99,162,66,98
21,634,100,263,79,41
22,761,60,125,124,21
23,954,50,243,18,30
24,487,32,289,57,24
25,587,53,56,50,17
26,615,15,300,236,39
27,23,71,33,3,67
28,465,40,28,19,56
29,92,50,218,71,72
30,944,82,265,29,82
31,262,37,15,2,40
32,896,66,212,99,29
33,563,68,8,5,62
34,444,60,195,73,32
35,73,70,121,57,11
36,375,95,262,82,98
37,321,86,25,9,91
38,229,100,181,92,16
39,851,57,26,23,6
40,200,94,113,80,77
41,606,58,63,31,80
42,391,33,112,56,65
43,792,62,119,1,59
44,938,57,223,47,68
45,856,50,173,50,8
46,518,51,80,38,5
47,913,89,25,3,99
48,501,63,113,12,86
49,597,37,221,71,52
