id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,663,48,4,2,51
1,630,6,179,167,91
2,317,15,27,17,49
3,228,34,209,200,18
4,682,15,220,78,82
5,997,64,242,12,35
6,228,66,73,10,48
7,720,53,285,32,87
8,167,80,197,154,95
9,892,22,267,237,62
10,757,54,172,7,40
11,407,40,47,24,70
12,827,68,241,29,98
13,895,5,11,1,33
14,702,54,122,47,52
15,426,93,8,2,89
16,143,45,13,4,44
17,720,51,20,4,8
18,885,28,254,2,78
19,451,6,242,114,97
20,450,98,230,144,4
21,123,48,41,31,88
22,982,57,255,251,41
23,344,2,20,17,61
24,98,48,248,14,80
25,612,98,241,137,45
26,373,5,300,274,85
27,790,17,30,29,91
28,940,69,11,6,4
29,134,44,173,20,88
30,508,68,257,4,61
31,847,69,157,147,6
32,138,73,181,50,38
33,659,46,189,6,49
34,648,52,114,85,45
35,388,2,242,109,88
36,411,61,127,93,65
37,186,95,3,1,58
38,666,18,56,9,3
39,371,26,239,97,93
40,529,71,134,31,30
41,77,27,128,29,41
42,181,60,173,28,38
43,763,20,92,43,3
44,886,3,180,123,5
45,605,26,225,148,69
46,365,59,32,12,88
47,168,25,257,212,6
48,877,8,86,53,64
49,576,100,205,95,45
