id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,699,58,211,183,94
1,675,68,81,51,36
2,504,100,262,28,27
3,388,75,294,82,64
4,5,75,179,31,49
5,140,9,150,57,19
6,106,40,117,26,27
7,926,17,139,92,51
8,31,91,102,101,73
9,218,4,138,72,18
10,379,63,5,3,23
11,679,5,244,75,70
12,963,86,225,18,58
13,807,45,188,139,19
14,897,96,285,198,24
15,34,36,279,90,37
16,330,28,27,17,46
17,650,39,288,212,25
18,558,78,221,10,59
19,919,1,76,5,70
20,545,94,236,223,34
21,614,76,47,4,68
22,669,87,205,122,13
23,683,74,39,21,32
24,576,16,41,16,44
25,700,99,259,10,2
26,748,58,31,18,1
27,823,9,185,97,35
28,769,9,92,88,58
29,626,32,126,92,24
30,775,52,91,69,32
31,880,26,138,117,64
32,372,3,281,128,96
33,767,51,133,48,85
34,126,99,189,155,72
35,976,93,136,22,20
36,327,42,230,73,11
37,460,72,246,121,87
38,213,57,19,12,7
39,813,20,92,52,24
40,203,64,120,66,1
41,146,68,22,1,55
42,757,29,272,65,12
43,295,51,299,118,35
44,213,78,253,19,27
45,173,76,183,48,2
46,727,47,82,72,88
47,769,26,78,49,11
48,677,60,274,161,84
49,155,94,296,157,91
