id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,50,92,223,141,40
1,926,2,5,3,96
2,128,26,238,112,3
3,864,37,74,35,5
4,873,89,55,27,85
5,807,70,101,5,13
6,838,75,252,143,60
7,627,1,200,16,32
8,705,39,206,105,34
9,965,73,125,14,78
10,873,48,293,211,22
11,821,22,165,28,88
12,337,79,63,34,67
13,179,78,252,187,49
14,879,18,127,113,74
15,62,51,106,60,63
16,568,97,226,133,47
17,256,60,267,15,61
18,522,9,213,55,53
19,12,17,32,25,75
20,262,22,257,39,30
21,400,32,5,2,56
22,396,95,35,31,45
23,691,8,169,73,15
24,727,45,114,75,52
25,2,39,79,53,24
26,83,1,11,5,81
27,640,2,199,160,84
28,736,41,232,19,87
29,479,18,42,35,21
30,971,68,145,89,46
31,455,37,130,79,66
32,997,43,145,70,94
33,829,20,97,4,39
34,193,86,265,126,57
35,576,87,114,77,17
36,133,4,4,2,92
37,971,70,294,236,58
38,513,81,149,5,95
39,308,44,184,140,26
40,476,21,185,127,14
41,937,74,228,192,65
42,280,84,114,81,55
43,94,57,98,43,21
44,229,25,293,68,74
45,64,1,13,4,50
46,767,71,246,224,99
47,388,54,255,129,11
48,573,79,193,27,18
49,500,44,278,254,99
