id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,203,32,81,46,62
1,477,86,40,25,77
2,380,31,51,23,50
3,584,52,3,1,75
4,975,65,155,138,24
5,576,7,177,9,21
6,251,68,284,273,31
7,0,28,76,29,86
8,721,18,96,5,42
9,877,48,68,18,100
10,225,22,138,136,97
11,740,18,128,57,83
12,264,69,52,29,62
13,31,6,232,170,27
14,157,90,233,136,96
15,755,81,265,160,89
16,47,5,90,67,100
17,4,5,151,134,71
18,579,82,40,29,87
19,881,25,72,57,62
20,333,12,166,51,10
21,508,91,226,15,78
22,778,85,248,87,6
23,113,6,240,188,57
24,542,6,96,22,95
25,61,49,165,125,19
26,312,98,208,95,17
27,474,19,37,3,66
28,43,16,216,191,11
29,643,66,26,7,67
30,415,99,60,20,92
31,456,41,192,134,18
32,113,67,41,18,9
33,290,53,258,116,89
34,365,82,100,4,25
35,915,77,218,1,94
36,554,85,234,26,45
37,837,62,168,60,98
38,15,76,271,178,24
39,660,84,86,6,32
40,461,83,266,245,66
41,608,13,18,12,44
42,177,12,260,154,77
43,628,32,210,69,76
44,888,24,283,78,99
45,280,24,26,18,36
46,937,28,171,154,12
47,650,5,113,108,81
48,418,55,284,211,100
49,444,47,237,89,48
