id,start_time,resource,runtime_in_uav,runtime_in_server,delay
0,792,39,66,24,33
1,854,64,112,53,77
2,564,3,139,73,16
3,534,29,247,82,84
4,762,87,2,1,94
5,897,67,22,18,43
6,692,63,201,136,50
7,656,71,5,1,41
8,678,95,295,284,43
9,271,90,126,96,20
10,289,79,217,156,70
11,195,61,214,18,58
12,207,65,274,63,71
13,695,42,70,20,20
14,56,36,36,13,40
15,983,35,168,20,13
16,938,36,183,160,81
17,545,65,87,9,98
18,656,59,22,21,89
19,722,9,70,56,52
20,648,61,175,168,1
21,205,92,50,46,47
22,358,39,247,213,51
23,241,57,179,72,27
24,740,11,2,1,36
25,346,29,18,4,2
26,643,44,39,6,98
27,328,14,218,172,69
28,489,69,289,150,36
29,900,95,141,109,83
30,172,3,75,3,44
31,614,79,84,7,23
32,661,37,77,47,26
33,341,89,91,16,55
34,530,20,166,37,53
35,621,65,139,100,21
36,714,20,173,150,96
37,122,11,209,45,99
38,121,17,96,58,45
39,541,64,283,97,3
40,215,30,129,41,76
41,833,53,126,115,40
42,474,36,100,4,49
43,531,59,105,16,54
44,967,34,201,161,64
45,824,62,53,23,61
46,212,50,79,47,95
47,617,19,260,10,55
48,983,92,88,61,98
49,117,1,44,38,39
