Unnamed: 0,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,1824,0
22,22,237,254,20,629,688,90
36,36,245,251,10,60,130,90
52,52,200,270,20,208,260,90
59,59,200,261,10,945,1017,90
65,65,152,206,10,910,973,90
77,77,143,207,30,267,326,90
90,90,149,203,10,553,597,90
109,109,148,211,20,167,233,90
140,140,206,261,10,1050,1104,90
143,143,205,223,20,491,544,90
183,183,248,251,20,2,63,90
186,186,154,207,20,1002,1066,90
191,191,199,187,20,433,490,90
211,211,224,192,10,215,274,90
218,218,205,230,30,203,263,90
266,266,249,258,30,910,974,90
277,277,238,204,20,566,634,90
278,278,208,184,20,146,192,90
286,286,241,205,30,669,717,90
308,308,195,185,20,335,399,90
311,311,244,254,20,723,787,90
335,335,199,268,20,284,368,90
355,355,237,213,10,846,917,90
359,359,224,191,20,312,359,90
368,368,198,271,20,380,458,90
371,371,200,229,30,301,355,90
395,395,150,204,20,639,694,90
417,417,146,205,10,363,417,90
424,424,148,206,20,458,506,90
438,438,234,246,10,537,582,90
442,442,226,191,20,397,459,90
444,444,198,264,20,770,821,90
473,473,152,210,20,105,163,90
488,488,224,203,20,53,90,90
498,498,236,247,20,443,492,90
511,511,200,178,20,240,298,90
519,519,151,207,10,731,788,90
530,530,192,265,10,678,721,90
544,544,210,185,20,76,120,90
561,561,240,250,10,340,405,90
581,581,204,269,30,49,98,90
615,615,236,213,20,39,114,90
643,643,206,225,10,405,446,90
654,654,197,270,30,474,548,90
661,661,212,223,40,758,832,90
663,663,244,250,10,157,217,90
667,667,233,207,10,105,167,90
699,699,200,265,10,853,922,90
712,712,201,188,10,526,581,90
714,714,243,248,30,243,314,90
715,715,230,197,40,588,645,90
728,728,152,207,20,824,877,90
732,732,206,186,10,891,955,90
745,745,205,228,10,110,173,90
800,800,225,196,10,128,174,90
804,804,231,195,20,497,552,90
808,808,233,204,20,198,260,90
824,824,238,210,30,757,821,90
844,844,207,223,10,585,634,90
888,888,228,199,10,673,746,90
893,893,246,255,10,818,877,90
898,898,202,186,20,616,676,90
915,915,204,187,30,803,857,90
918,918,197,267,10,582,626,90
923,923,231,204,20,776,834,90
926,926,231,203,20,291,352,90
933,933,201,270,10,108,177,90
956,956,208,222,30,667,734,90
964,964,234,202,10,389,440,90
968,968,207,227,10,48,112,90
979,979,204,185,20,707,769,90
988,988,238,203,10,483,534,90
