Unnamed: 0,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,1824,0
48,48,164,21,20,578,639,90
50,50,108,26,10,423,491,90
64,64,238,46,40,735,784,90
82,82,202,9,10,1225,1281,90
92,92,189,7,30,310,372,90
98,98,202,8,10,1134,1190,90
127,127,122,35,10,305,376,90
156,156,208,11,20,1316,1382,90
190,190,111,23,10,266,326,90
197,197,233,47,20,356,415,90
198,198,237,43,20,631,702,90
200,200,188,4,20,413,455,90
201,201,180,6,10,774,839,90
214,214,232,42,10,545,599,90
235,235,125,29,30,588,649,90
244,244,169,31,20,387,447,90
328,328,188,12,30,245,309,90
344,344,198,12,10,582,631,90
351,351,125,39,20,245,318,90
382,382,124,56,20,231,285,90
399,399,203,7,20,1033,1108,90
426,426,197,11,10,678,719,90
428,428,133,53,20,668,720,90
429,429,132,30,20,875,926,90
434,434,174,26,10,1037,1105,90
445,445,179,7,20,864,930,90
454,454,182,14,10,1062,1116,90
459,459,104,28,20,716,748,90
460,460,131,56,10,489,533,90
475,475,126,30,10,495,558,90
484,484,168,24,10,770,816,90
497,497,167,27,30,487,536,90
501,501,200,13,10,397,453,90
503,503,202,4,10,950,1004,90
517,517,176,8,10,969,1012,90
589,589,235,50,30,813,896,90
594,594,199,9,20,853,911,90
596,596,129,27,10,680,745,90
624,624,181,6,20,678,753,90
634,634,182,4,10,586,659,90
648,648,230,49,20,201,253,90
653,653,170,26,10,855,918,90
675,675,107,26,10,517,579,90
682,682,125,32,30,407,462,90
683,683,199,12,20,475,557,90
708,708,132,57,20,396,443,90
749,749,133,26,10,776,837,90
764,764,204,15,20,239,301,90
765,765,173,28,10,1134,1191,90
767,767,231,43,10,447,513,90
784,784,130,57,40,289,365,90
799,799,198,9,20,763,819,90
822,822,105,27,10,611,670,90
830,830,102,27,20,796,852,90
842,842,105,22,30,339,385,90
846,846,186,7,20,500,555,90
852,852,132,55,10,573,632,90
872,872,102,29,30,887,946,90
879,879,200,14,10,311,356,90
896,896,166,32,10,296,352,90
903,903,107,35,30,986,1041,90
907,907,136,52,10,759,817,90
935,935,167,24,20,668,736,90
949,949,232,47,10,262,327,90
975,975,173,25,20,952,1007,90
984,984,166,34,20,231,305,90
