Unnamed: 0,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,1824,0
13,13,219,325,10,520,563,90
39,39,163,340,30,468,513,90
78,78,221,325,10,594,673,90
81,81,141,431,30,362,423,90
86,86,268,400,20,869,928,90
106,106,141,428,20,208,266,90
124,124,146,439,10,642,707,90
125,125,162,336,20,180,247,90
130,130,218,316,20,73,134,90
134,134,187,491,20,771,854,90
149,149,182,463,30,372,440,90
158,158,140,431,30,280,324,90
168,168,210,398,10,592,647,90
208,208,186,461,20,220,284,90
213,213,272,403,30,494,555,90
226,226,173,490,20,406,462,90
238,238,246,398,40,148,199,90
251,251,269,402,20,587,648,90
252,252,267,400,10,779,836,90
256,256,167,339,10,648,710,90
260,260,243,399,10,782,837,90
281,281,215,395,20,865,928,90
287,287,250,405,20,303,370,90
303,303,172,488,10,310,374,90
332,332,181,469,20,468,536,90
345,345,186,472,20,564,633,90
358,358,196,462,10,955,1003,90
362,362,270,401,20,217,268,90
376,376,220,319,30,971,1037,90
385,385,145,434,20,462,514,90
391,391,220,392,20,970,1015,90
404,404,165,337,20,373,422,90
409,409,189,464,10,856,906,90
425,425,184,464,10,285,344,90
455,455,266,405,20,680,745,90
464,464,214,394,10,778,834,90
471,471,241,403,10,686,744,90
485,485,267,394,10,962,1027,90
506,506,250,411,30,492,554,90
510,510,169,336,30,838,892,90
535,535,175,487,20,248,308,90
537,537,147,435,20,553,607,90
592,592,213,397,10,680,744,90
597,597,248,404,30,214,274,90
612,612,212,319,30,227,293,90
621,621,272,402,10,317,353,90
626,626,245,408,10,585,652,90
628,628,218,318,20,884,939,90
656,656,203,390,40,307,361,90
658,658,210,391,30,202,272,90
671,671,174,494,10,498,559,90
725,725,215,317,10,140,194,90
739,739,188,462,40,753,826,90
761,761,207,400,20,489,562,90
771,771,208,396,20,401,462,90
772,772,249,407,10,403,455,90
782,782,165,343,10,556,613,90
794,794,218,321,20,697,759,90
815,815,211,386,20,141,212,90
816,816,144,439,30,736,797,90
817,817,224,314,10,1074,1126,90
851,851,179,492,10,678,752,90
855,855,217,323,20,424,473,90
857,857,169,340,10,737,806,90
904,904,216,319,10,321,387,90
914,914,270,400,10,151,213,90
936,936,186,464,10,662,730,90
954,954,163,337,10,277,334,90
969,969,277,403,10,395,464,90
971,971,217,319,10,789,851,90
978,978,178,491,10,591,656,90
981,981,163,331,40,118,179,90
