Unnamed: 0,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,1824,0
33,33,39,76,10,328,399,90
47,47,111,113,10,632,694,90
57,57,118,157,20,403,465,90
74,74,64,108,10,473,539,90
80,80,24,65,10,904,976,90
83,83,20,48,10,1294,1358,90
95,95,20,73,10,290,354,90
113,113,22,37,10,833,894,90
114,114,65,100,10,763,811,90
121,121,26,42,20,455,519,90
122,122,113,106,20,198,260,90
131,131,116,156,10,495,557,90
148,148,121,157,10,220,279,90
159,159,118,153,30,949,1028,90
172,172,87,96,30,744,810,90
196,196,8,116,20,894,957,90
209,209,38,72,30,420,496,90
215,215,18,63,10,716,792,90
222,222,2,116,20,526,586,90
234,234,71,103,20,1402,1472,90
236,236,25,65,10,1005,1057,90
247,247,22,33,10,735,803,90
257,257,26,43,10,365,427,90
264,264,23,67,30,1092,1157,90
271,271,17,65,20,625,699,90
274,274,71,153,20,746,816,90
284,284,70,100,10,1119,1191,90
291,291,120,159,10,306,377,90
301,301,44,47,20,289,356,90
310,310,30,72,10,1379,1434,90
313,313,67,108,10,297,346,90
316,316,109,107,20,357,416,90
320,320,40,52,40,546,591,90
322,322,94,97,20,285,334,90
338,338,64,99,10,853,904,90
347,347,19,43,20,1203,1259,90
352,352,61,147,40,383,413,90
360,360,37,51,10,633,689,90
367,367,22,41,10,1110,1164,90
372,372,48,72,30,711,768,90
374,374,123,155,10,1143,1209,90
381,381,16,68,20,521,617,90
389,389,109,114,10,829,871,90
390,390,72,148,20,265,330,90
406,406,9,124,20,271,336,90
415,415,96,97,20,217,280,90
416,416,68,99,10,1040,1085,90
418,418,117,152,20,859,935,90
448,448,22,40,30,1012,1080,90
452,452,22,38,20,929,980,90
461,461,111,110,20,550,590,90
462,462,97,93,20,460,530,90
465,465,6,114,10,809,855,90
481,481,67,109,20,388,438,90
500,500,13,51,10,1366,1425,90
502,502,0,120,30,431,492,90
509,509,4,114,10,712,769,90
513,513,121,151,20,1053,1110,90
532,532,44,79,10,267,333,90
536,536,26,45,30,303,366,90
557,557,15,68,10,448,508,90
559,559,88,95,20,658,712,90
560,560,116,151,20,774,836,90
562,562,123,159,20,156,216,90
564,564,39,50,30,440,511,90
569,569,91,101,10,844,902,90
593,593,113,156,10,577,661,90
600,600,61,156,30,462,532,90
603,603,108,116,30,911,973,90
616,616,68,108,10,230,324,90
627,627,93,96,20,374,427,90
630,630,21,64,20,818,876,90
635,635,26,36,10,646,702,90
641,641,48,78,20,990,1042,90
642,642,24,68,20,1282,1337,90
662,662,8,120,10,1169,1232,90
672,672,49,76,20,899,950,90
674,674,7,118,20,988,1047,90
678,678,109,108,10,444,510,90
698,698,95,92,20,554,621,90
705,705,108,105,20,258,329,90
709,709,43,71,40,525,581,90
750,750,21,68,20,1189,1243,90
763,763,37,55,10,730,780,90
773,773,107,112,30,728,787,90
777,777,41,47,20,359,406,90
786,786,66,156,10,653,718,90
795,795,64,101,20,667,724,90
805,805,72,96,20,1220,1278,90
820,820,7,123,30,329,399,90
834,834,15,69,10,359,414,90
869,869,71,156,10,844,904,90
870,870,65,153,30,570,614,90
871,871,8,118,20,1079,1138,90
876,876,67,105,10,579,622,90
878,878,73,101,20,1313,1375,90
894,894,49,75,20,810,857,90
895,895,66,98,20,944,996,90
927,927,4,116,10,618,678,90
953,953,116,152,20,678,750,90
966,966,24,41,10,557,601,90
977,977,74,146,30,204,259,90
991,991,46,74,20,612,682,90
