Unnamed: 0,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,1824,0
14,14,437,12,20,557,613,90
35,35,435,68,10,259,314,90
37,37,409,88,20,655,715,90
54,54,433,31,10,285,333,90
58,58,489,101,20,1005,1066,90
84,84,457,163,20,284,346,90
93,93,397,18,10,519,575,90
94,94,481,122,30,607,653,90
100,100,460,2,20,655,720,90
108,108,398,23,10,270,334,90
111,111,479,127,20,412,478,90
133,133,467,141,10,574,637,90
135,135,433,25,20,903,970,90
139,139,435,11,40,362,422,90
144,144,463,140,10,295,366,90
146,146,435,62,30,1156,1218,90
154,154,446,64,10,600,665,90
164,164,474,96,30,271,327,90
171,171,437,61,10,1063,1127,90
175,175,459,145,40,233,291,90
177,177,433,27,20,628,694,90
179,179,478,99,10,617,675,90
182,182,398,20,20,333,394,90
184,184,433,15,20,297,344,90
194,194,452,163,30,219,263,90
195,195,431,28,20,724,783,90
203,203,393,12,10,617,671,90
204,204,409,90,20,569,617,90
205,205,406,87,10,936,999,90
232,232,394,23,20,1271,1326,90
242,242,477,97,10,421,495,90
270,270,440,61,30,971,1032,90
288,288,483,14,10,664,732,90
290,290,467,114,10,1159,1223,90
292,292,408,84,10,745,814,90
296,296,479,169,20,774,834,90
299,299,477,179,20,237,308,90
300,300,406,99,20,367,438,90
318,318,494,94,10,634,692,90
323,323,476,94,20,334,396,90
326,326,460,13,20,462,532,90
334,334,459,10,10,566,614,90
361,361,491,25,10,957,1010,90
370,370,446,63,20,697,750,90
373,373,465,142,10,401,445,90
377,377,484,171,10,680,736,90
379,379,428,24,10,1105,1140,90
384,384,481,26,30,321,374,90
414,414,461,8,20,756,812,90
419,419,481,96,20,526,577,90
430,430,464,13,20,853,906,90
432,432,483,22,10,476,543,90
437,437,406,94,10,375,430,90
447,447,483,27,20,1322,1384,90
449,449,479,176,20,296,367,90
450,450,476,102,20,797,866,90
468,468,466,165,30,747,805,90
470,470,397,20,20,433,477,90
479,479,406,96,20,280,342,90
483,483,438,31,10,348,413,90
507,507,464,134,20,1048,1106,90
514,514,403,93,10,1131,1181,90
525,525,428,25,20,1175,1251,90
529,529,398,97,10,264,344,90
531,531,438,26,10,453,497,90
539,539,472,132,10,767,826,90
546,546,484,174,10,496,544,90
550,550,459,17,20,1039,1094,90
551,551,481,124,10,505,571,90
582,582,407,98,10,218,297,90
587,587,488,96,10,909,973,90
595,595,463,167,10,657,709,90
601,601,393,20,20,1190,1222,90
602,602,484,177,20,390,463,90
607,607,434,26,10,538,601,90
608,608,488,26,30,1136,1199,90
609,609,477,120,10,968,1026,90
622,622,478,102,10,704,775,90
645,645,439,15,20,650,706,90
677,677,399,102,20,649,715,90
692,692,466,142,10,492,537,90
693,693,389,17,10,993,1049,90
696,696,404,83,30,831,916,90
700,700,435,16,10,829,895,90
706,706,386,13,10,785,878,90
707,707,472,129,10,312,383,90
710,710,493,91,30,542,599,90
716,716,389,11,20,707,769,90
718,718,459,14,20,372,439,90
719,719,411,95,30,475,521,90
722,722,458,16,20,313,369,90
724,724,432,24,20,1000,1056,90
727,727,481,20,20,572,631,90
740,740,400,103,10,546,636,90
746,746,407,88,10,1035,1083,90
753,753,458,130,20,1140,1210,90
754,754,437,15,30,739,801,90
759,759,488,173,20,583,645,90
762,762,391,18,10,1085,1141,90
769,769,432,27,10,810,878,90
779,779,461,167,10,470,531,90
780,780,391,99,20,206,268,90
787,787,485,86,20,349,413,90
791,791,429,27,20,1272,1339,90
802,802,462,14,20,944,1000,90
806,806,489,87,20,451,499,90
825,825,439,67,10,322,386,90
827,827,443,64,30,779,854,90
831,831,492,94,10,724,787,90
832,832,440,63,20,886,934,90
835,835,489,17,10,764,826,90
839,839,489,27,10,1035,1117,90
843,843,479,121,10,692,754,90
847,847,465,168,10,837,902,90
853,853,485,24,20,387,445,90
858,858,491,20,20,853,925,90
867,867,458,164,20,374,439,90
868,868,446,65,20,516,566,90
875,875,384,16,20,892,959,90
877,877,478,118,20,1058,1121,90
885,885,477,122,10,886,924,90
889,889,435,20,20,933,980,90
891,891,469,132,10,856,923,90
892,892,465,136,30,964,1007,90
908,908,462,167,20,566,617,90
913,913,470,139,10,668,731,90
916,916,460,171,30,937,994,90
917,917,399,106,20,925,989,90
921,921,398,103,30,739,807,90
932,932,441,65,10,422,470,90
942,942,478,121,40,788,840,90
955,955,440,7,20,469,508,90
957,957,485,95,10,281,351,90
961,961,492,95,30,815,877,90
965,965,404,103,20,464,530,90
982,982,470,125,20,253,316,90
989,989,399,104,10,834,896,90
994,994,485,27,10,1231,1291,90
995,995,476,174,30,874,924,90
