Unnamed: 0,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,1824,0
3,3,355,177,20,194,245,90
5,5,286,159,20,530,597,90
12,12,270,49,30,925,970,90
25,25,287,143,10,748,793,90
26,26,379,80,20,737,789,90
30,30,281,137,10,370,416,90
32,32,297,102,10,214,281,90
38,38,273,55,20,196,246,90
42,42,357,26,20,1162,1202,90
63,63,275,45,20,444,515,90
76,76,356,24,20,249,323,90
88,88,366,20,10,874,927,90
110,110,362,22,20,1050,1121,90
128,128,346,60,10,1027,1086,90
136,136,286,137,10,459,516,90
137,137,370,82,40,450,509,90
145,145,343,47,20,738,805,90
151,151,370,83,20,357,419,90
163,163,377,76,20,638,699,90
165,165,346,57,20,925,1002,90
169,169,346,150,20,948,998,90
173,173,367,83,30,266,324,90
192,192,269,48,20,823,889,90
212,212,278,46,20,205,269,90
229,229,361,14,10,686,738,90
230,230,348,147,10,845,914,90
241,241,348,145,20,763,813,90
243,243,307,102,40,602,647,90
259,259,342,54,20,553,616,90
261,261,288,44,20,636,711,90
262,262,274,48,10,368,405,90
272,272,323,118,20,304,367,90
294,294,338,142,40,204,256,90
305,305,279,138,40,281,320,90
306,306,338,147,10,135,193,90
319,319,343,49,10,650,710,90
321,321,319,124,20,400,465,90
324,324,283,47,10,373,420,90
327,327,305,107,20,688,753,90
333,333,358,18,10,485,568,90
340,340,366,93,20,936,989,90
343,343,344,146,10,496,529,90
348,348,307,108,10,777,847,90
353,353,317,123,20,497,554,90
357,357,304,97,20,407,466,90
366,366,269,46,20,733,794,90
369,369,287,43,10,555,609,90
386,386,335,57,30,210,261,90
388,388,324,127,30,143,200,90
398,398,285,163,10,714,780,90
405,405,314,124,20,775,836,90
410,410,288,154,10,442,494,90
421,421,285,44,10,459,522,90
467,467,356,21,20,414,452,90
477,477,285,162,30,625,688,90
478,478,285,158,30,340,405,90
499,499,313,119,30,679,742,90
504,504,343,144,10,302,349,90
520,520,299,98,30,320,364,90
540,540,349,158,20,1050,1093,90
548,548,313,126,10,873,923,90
618,618,275,42,30,537,608,90
631,631,356,23,20,309,373,90
632,632,267,44,20,649,693,90
633,633,277,50,10,257,329,90
639,639,358,16,30,596,641,90
644,644,290,141,30,645,709,90
659,659,363,22,20,964,1025,90
660,660,352,176,20,126,175,90
665,665,379,82,10,827,884,90
668,668,344,62,10,1208,1274,90
686,686,304,102,30,505,559,90
691,691,347,62,10,1121,1176,90
697,697,290,46,20,832,896,90
730,730,361,17,20,777,832,90
756,756,346,144,10,661,729,90
758,758,280,162,30,158,210,90
760,760,326,118,10,213,272,90
766,766,343,148,20,399,441,90
774,774,279,159,20,252,301,90
792,792,339,60,20,274,338,90
803,803,347,54,10,836,904,90
814,814,288,53,40,925,997,90
838,838,292,41,10,733,804,90
856,856,281,164,20,91,140,90
859,859,279,42,40,262,338,90
874,874,343,62,10,1300,1364,90
884,884,282,139,20,188,227,90
900,900,290,136,20,549,614,90
901,901,341,58,10,364,433,90
909,909,340,54,10,461,525,90
929,929,268,52,10,1003,1079,90
930,930,345,144,30,568,640,90
931,931,368,85,30,202,275,90
941,941,300,108,10,150,211,90
983,983,315,121,10,590,647,90
985,985,284,140,40,115,172,90
998,998,375,80,10,550,598,90
1000,1000,287,144,20,827,895,90
