Unnamed: 0,CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,0,250,250,0,0,1824,0
2,2,5,297,10,955,1017,90
4,4,78,346,30,355,403,90
8,8,89,216,10,495,562,90
9,9,76,345,30,539,586,90
17,17,77,347,20,436,505,90
18,18,73,346,10,726,772,90
20,20,129,292,10,552,610,90
23,23,131,220,30,749,810,90
27,27,87,285,30,709,764,90
34,34,35,306,20,369,440,90
40,40,129,223,20,274,340,90
44,44,77,344,10,254,319,90
46,46,128,291,10,639,706,90
53,53,7,300,30,1056,1104,90
61,61,30,302,10,572,632,90
62,62,8,300,10,1131,1211,90
66,66,99,218,30,154,205,90
71,71,90,237,20,1229,1284,90
89,89,72,344,20,618,695,90
97,97,74,350,10,915,955,90
102,102,1,293,10,492,554,90
105,105,75,347,10,810,872,90
116,116,102,264,10,148,215,90
119,119,124,219,20,571,615,90
126,126,2,295,30,774,828,90
129,129,93,213,30,409,457,90
138,138,132,290,10,818,898,90
150,150,92,216,10,777,834,90
153,153,90,285,40,981,1042,90
161,161,91,235,10,1140,1188,90
174,174,91,268,10,869,931,90
181,181,6,292,10,316,360,90
189,189,88,286,10,795,859,90
225,225,136,288,10,1023,1063,90
227,227,90,232,10,682,732,90
246,246,95,234,10,315,362,90
249,249,135,293,30,360,430,90
265,265,6,296,10,863,926,90
282,282,123,222,30,376,430,90
285,285,73,328,20,193,270,90
297,297,95,224,20,1057,1120,90
298,298,122,216,10,461,537,90
315,315,63,336,20,822,861,90
329,329,136,290,20,272,332,90
356,356,71,333,10,252,325,90
380,380,80,342,10,193,275,90
383,383,95,218,20,873,927,90
393,393,69,336,20,440,507,90
394,394,131,226,20,121,183,90
407,407,3,292,20,404,457,90
411,411,90,296,20,166,240,90
433,433,93,235,10,951,1012,90
441,441,128,225,10,176,253,90
463,463,90,274,20,411,458,90
472,472,69,334,30,348,415,90
474,474,67,335,20,629,684,90
491,491,87,217,10,597,644,90
493,493,119,223,10,853,906,90
518,518,62,326,20,914,969,90
522,522,92,270,20,954,1029,90
524,524,132,223,30,837,909,90
533,533,137,290,10,176,245,90
541,541,86,268,10,689,735,90
543,543,121,218,20,191,257,90
545,545,98,215,20,218,278,90
563,563,89,290,20,225,300,90
567,567,92,236,20,1041,1104,90
577,577,139,291,10,118,187,90
586,586,89,272,10,498,555,90
604,604,112,217,20,383,443,90
610,610,126,220,20,659,711,90
666,666,84,346,20,1095,1157,90
679,679,115,218,10,298,341,90
680,680,88,287,30,878,959,90
688,688,66,336,10,719,778,90
689,689,132,291,10,736,797,90
695,695,92,223,10,967,1023,90
703,703,116,225,20,752,820,90
720,720,0,297,10,679,737,90
723,723,92,230,20,498,549,90
736,736,35,304,30,280,345,90
742,742,112,219,20,469,541,90
744,744,30,301,10,660,726,90
778,778,96,213,30,311,369,90
781,781,116,221,30,571,627,90
811,811,95,277,20,1057,1121,90
813,813,100,266,20,207,275,90
818,818,79,291,10,519,568,90
819,819,95,235,10,155,227,90
821,821,91,217,10,692,738,90
828,828,92,234,10,853,926,90
840,840,96,270,20,308,367,90
850,850,92,233,10,768,830,90
862,862,96,244,10,1332,1380,90
880,880,114,225,30,664,723,90
886,886,91,266,10,776,840,90
902,902,121,219,20,132,203,90
905,905,134,288,20,923,979,90
906,906,89,270,10,590,647,90
910,910,80,286,10,601,677,90
911,911,38,301,20,768,814,90
912,912,25,307,10,480,529,90
919,919,77,350,10,997,1058,90
920,920,91,231,30,579,652,90
922,922,35,303,20,221,262,90
934,934,0,293,30,591,637,90
937,937,7,292,10,246,306,90
938,938,80,290,10,420,484,90
943,943,92,232,10,401,462,90
945,945,132,294,20,454,521,90
946,946,134,285,20,1104,1168,90
967,967,67,334,20,532,600,90
986,986,85,288,20,329,386,90
999,999,94,235,20,227,266,90
